gsm	title	patient	group	lesion	timepoint	time_order	marker_compartment	module	dataset	n_cells	mean_score	high_fraction
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	complement_phagocytosis	GSE183047	77	0.054641147754550874	0.19480519480519481
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	hif_nampt_metabolic	GSE183047	77	0.09366710762164931	0.33766233766233766
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	hla_ii_apc	GSE183047	77	0.20995740750973618	0.2727272727272727
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	ifn_apc	GSE183047	77	0.06936637099736347	0.35064935064935066
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	il17_keratinocyte_inflammation	GSE183047	77	0.2985939966820156	0.5584415584415584
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	inflammatory_nfkb	GSE183047	77	0.11383407048385513	0.45454545454545453
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	lipid_loader_repair	GSE183047	77	0.011779160874309165	0.2727272727272727
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	lysosomal_apc	GSE183047	77	0.11258553612906685	0.35064935064935066
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	mif_cd74_receptor_state	GSE183047	77	0.06238177187309927	0.2727272727272727
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	mixscale_validated_ifng_readout	GSE183047	77	0.26376192083393935	0.45454545454545453
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	b_plasma_like	regulatory_dc_markers	GSE183047	77	0.10696145750527487	0.03896103896103896
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	keratinocyte_like	complement_phagocytosis	GSE183047	378	0.009824308980842102	0.19576719576719576
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	keratinocyte_like	hif_nampt_metabolic	GSE183047	378	-0.10981031453155982	0.1164021164021164
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	keratinocyte_like	hla_ii_apc	GSE183047	378	0.6265865428886747	0.24338624338624337
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	keratinocyte_like	ifn_apc	GSE183047	378	0.3120845678168109	0.5555555555555556
GSM5550101	Psoriasis01_preTx_LS	Psoriasis01	psoriasis	LS	preTx	0	keratinocyte_like	il17_keratinocyte_inflammation	GSE183047	378	-0.6226456456154165	0.021164021164021163
