analysis_set	dropped_cohort	dropped_patient	auc_after_drop
bounded_immune_remodeling	GSE235357	Non-responder_1	0.8
bounded_immune_remodeling	GSE235357	Non-responder_2	0.8
bounded_immune_remodeling	GSE235357	Non-responder_3	0.8875
bounded_immune_remodeling	GSE235357	Non-responder_4	0.8
bounded_immune_remodeling	GSE235357	Non-responder_5	0.8500000000000001
bounded_immune_remodeling	GSE235357	Responder_1	0.8024691358024691
bounded_immune_remodeling	GSE235357	Responder_2	0.8024691358024691
bounded_immune_remodeling	GSE235357	Responder_3	0.8024691358024691
bounded_immune_remodeling	GSE235357	Responder_4	0.8148148148148149
bounded_immune_remodeling	GSE235357	Responder_5	0.8148148148148149
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_005	0.7875
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_009	0.7901234567901234
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_011	0.8148148148148149
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_012	0.8148148148148149
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_013	0.7875
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_015	0.8641975308641976
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_016	0.7875
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_019	0.8
bounded_immune_remodeling	GSE253006_TOF_exact	TOF_023	0.7901234567901234
